,hodl,hourly,daily,weekly,monthly
GTO-GAM-SLS-VTC-SRN,2454.429025967257,6090.40320897494,5017.830898428761,5168.39392271187,5219.053394828156
ADT-INCNT-BAY-ARDR-ZEN,2504.385047826653,13311.186777634566,7744.419706982098,8664.49261826353,3196.8799244002266
DYN-ZRX-CLOAK-XNK-EDG,2579.076666738098,86695.75349687868,9805.959964983127,5519.451849537663,3411.232286253881
PAX-MLN-BOXX-TIX-BURST,2724.1152140100776,8368.447959061989,7357.210170608098,7691.10806126997,3652.8617045320293
IOC-EDG-BAT-KORE-RFR,2980.9746385336066,11760.02010912085,8254.511771204416,5895.194383587618,4073.804415784856
ETH-EDG-DCR-BFT-EBST,2441.5305965321977,3671.660330555042,3406.560621097577,3400.735354490149,2752.1210047704167
MFT-ADA-GAM-PMA-EMC2,2791.342378641947,2552036.5839084554,13583.983348207705,4369.931435989883,3276.850003605355
ZRX-COVAL-ARDR-SYNX-SEQ,2636.8213545270946,9232.469159739929,5370.162479596002,4119.116071742414,2925.2528569328456
SWIFT-ARK-XLM-WINGS-VTC,2649.58115191745,5978.122134968802,4622.560058697924,3667.4573949710884,3203.5514927808113
WAX-ADA-DOGE-GRC-ETC,2860.547501398369,5049.154767093619,4014.6989091440473,3922.0512968776497,4160.906225649672
KMD-CLOAK-COVAL-FCT-INCNT,3880.8353653843938,41805.57867525976,24066.5203877339,65352.18941588528,7122.585729501469
SWIFT-CANN-EBST-UKG-IOP,2422.65606966596,7608.738022116205,5363.483459968916,4314.195874500766,3905.146906495357
TRX-MANA-BCHSV-ETH-LBC,3135.2155777487533,12615232514.916126,54321.954315806106,12439.183010457566,4460.486508687209
EXP-ETC-PAL-NAV-BSD,2890.731691179397,13052.946700397251,5171.246146823112,4652.26776981858,3411.038470921059
LUN-BSD-MET-CVC-LTC,2409.804138845445,5835.123439560137,4393.248925842503,4111.730512436437,3113.891593514004
ETH-UKG-MUSIC-CBC-WINGS,2619.3614087423457,6880.587857906314,7031.45847519083,5128.965155858192,4389.559711249213
LRC-BLK-POWR-NGC-RFR,3181.4592133936503,8761.677878689521,6341.01969279539,4865.055024027163,3682.9338031098328
DCT-VTC-THC-TX-LTC,2427.625038727057,5903.743173531853,4676.220090184197,4093.329888118801,3469.8109778597886
MET-XEL-USDS-BLK-MCO,3049.122281424657,10540.23340951389,5724.395907072473,4163.291641800958,3457.5511792085736
BOXX-DOGE-EBST-THC-GEO,2563.165582032656,6244.224433725758,5459.1924462455245,4990.954955336977,3897.8836296476293
MANA-PINK-SIB-XHV-CVC,3031.8096638573793,9986.088160276517,6730.404511444408,6975.95897605114,8218.011348257402
WAVES-NGC-NBT-NLC2-BKX,3319.7119070926733,11523.795514906102,8353.97893405643,7948.348329673221,4471.576134672489
ADA-MEME-POLY-NLC2-ETC,2783.003065943324,7134.465403569431,5651.076907841632,5100.0620233027885,3451.882711779159
RLC-NEO-NXC-MTL-RFR,2574.1406458388346,8430.195682486537,7129.125729740269,6827.719916002573,3112.544838375202
LUN-QTUM-STEEM-AEON-OCN,2236.7272233106078,5398.428888666343,4820.769065558843,4107.672418304835,2842.8289497058863
GNT-CBC-GNO-CURE-TRX,3513.1427351959637,6741.6028349274,5923.1076279528515,5302.0657994687435,3860.9848766680184
DTB-NAV-SEQ-SHIFT-SYNX,2711.2846146049687,13979.948478082408,8023.659409709371,7128.038148626482,3442.882944582006
VRM-IOP-CLOAK-MET-CVC,2491.6609844161626,5797.527772614796,4063.606872243095,3588.282127110885,2897.4606990454804
SLR-PIVX-CBC-EDG-NGC,2993.168236993651,6641.499596758324,5435.294210895292,4783.649953200407,3536.007453210168
XST-ADT-SBD-POLY-MONA,2953.875793970913,6501.302214675296,5333.707960482429,4884.486200504005,3727.8238374849707
RDD-DCT-EDR-MER-XRP,2715.4847879481918,6458.720311299671,6117.372214086878,5204.244842186909,3948.078281447143
TX-QRL-STRAT-SC-INCNT,2840.9698094897662,22275.91196013974,10273.133913299664,12123.931802320018,3633.091553857386
POWR-2GIVE-STORJ-XEL-POLY,2517.546819565586,5431.668733933755,4592.740617302529,3529.1912207742353,3199.853543261317
XEL-DCR-FTC-SEQ-MTL,2309.9565029424507,6841.525644893814,5523.598826554098,3576.224138124989,2981.043501206585
UP-RFR-STORJ-FLDC-PTOY,2409.179053955556,5992.23215206066,4404.1598452151975,4009.4489450416895,2754.201190869061
DASH-GEO-PMA-DTB-NAV,2968.549700496365,4329539.82530741,21018.81001298809,6505.985179169642,4173.403801251749
NMR-EDR-RADS-ZRX-VRC,3050.0994702689404,10897.971661767808,6149.997210651073,4931.271513097263,3635.994305251961
SLR-IOC-EMC-BNT-XCP,2896.481139089365,8897.97438179619,5990.740257711506,5162.240841204483,3527.9174096707725
ARDR-XWC-XEL-BCHSV-GNO,3075.442229944947,13364091963.546894,60274.02416871405,10947.134988906071,4964.610837466404
NAV-IHT-XZC-BRX-VEE,2353.8607262701557,5844.926098387275,4622.902264140012,4175.318188262564,2949.494642780921
PTOY-PAL-NEOS-ARK-VIA,2983.19130047836,16982.733851156943,7654.189892519224,6022.196272857558,3933.6120298899896
EBST-XEL-LUN-MEME-SC,2482.065825540438,5100.5019599390025,4343.155567653003,3797.918370813082,2918.7505412013647
BLK-STEEM-ADA-PIVX-VEE,2946.112005659501,6471.97656163737,5252.965509608537,4061.4776609672426,3055.8358528020385
RADS-XRP-POT-AMP-LBC,3054.890972228953,5495.304239784221,4449.6025929084835,3991.023551265976,3666.0776000058668
GAM-ZEN-BRK-QTUM-PRO,2517.864799339138,7200.236235803639,5728.865753447501,4497.586898260331,2964.8447562897113
GUP-BURST-DOPE-MUE-UPP,2791.1279835037926,7597.292691198388,6673.7449897757115,6651.694700253996,4057.704527244095
QWARK-DOGE-SBD-GO-COVAL,3164.3450978775927,7239.568754418407,6336.397052985689,6825.375081936805,5306.189888666498
OK-XEL-ZEC-BNT-MFT,2271.247989441249,3786.4574211006416,3593.0112947707844,3283.390783957649,2885.9400281739368
BURST-GUP-CURE-FLDC-SBD,3132.81304997302,5689.7473005782895,5039.634794046679,5067.680577477118,3875.43900949642
VIB-ARDR-XEL-VIA-NGC,2570.74523394326,5031.84836423201,4200.503071980558,3428.4305428106463,3143.741181607423
XDN-BAY-UKG-DGB-ABY,2518.963951018959,5555.742751768359,4950.491231029995,4161.613388181796,4151.603454187728
COVAL-STEEM-LTC-GNO-SWIFT,2687.2350635421376,5813.425742002043,4074.0600201840557,3783.1013766070646,2841.962607781359
RADS-LTC-DTA-SRN-PMA,2651.991147624936,3999870.3988090185,15392.710663055304,4922.645580501371,5609.128630541305
NEO-RFR-ADT-PINK-BKX,2632.807624489872,6433.509739634593,5156.313692425384,4930.535532465683,3492.5192578714727
ADX-SEQ-MUE-NLG-TX,3158.02446952792,13729.427879968876,8562.16197844103,5921.564353695225,4934.351780398896
QRL-ZCL-XMY-BKX-SWT,3000.900608666544,26841.597838187223,7314.468750868783,5976.046225797071,3865.0845311840094
VRC-DASH-GTO-NBT-RCN,2389.2535463919685,6419.926173076792,4232.349075929375,3527.6740935763623,2913.8748571089527
VTC-NLG-MUSIC-XWC-STORM,3004.008737987724,6519.626212923705,6268.093217872405,5510.169518418745,3940.7774121580333
DOPE-FLO-DTB-IOP-XNK,2860.2766985365397,175536.85135588376,24294.37178495264,9821.590611273738,4266.1406331493345
XLM-ION-DTB-QTUM-VEE,2469.142622013173,5152.3205396943895,4782.590773262134,4634.0916664937395,2903.1592908129574
GNO-ARDR-ARK-MUSIC-PINK,3148.310154682415,5967.727062045938,5958.173892290426,4770.441904798056,3732.118992080101
ARK-REP-GNT-PAY-LTC,2958.479338305193,3943.729492802418,3743.0965159566704,3378.922014879192,3061.710268838424
DCR-NGC-BCHSV-WAX-XDN,2887.490425993808,16430380839.268948,60567.9351796602,12324.291507255057,5141.589838700228
